standard_station_id,year,index
QBH,2014,NA
QBH,2015,NA
QBH,2016,NA
QBH,2017,NA
QBH,2018,NA
QBH,2019,NA
QBH,2020,NA
QBH,2021,NA
QBH,2022,4.1
QBH,2023,0.76
QBH,2024,0.5
RCN,2014,NA
RCN,2015,NA
RCN,2016,5
RCN,2017,NA
RCN,2018,NA
RCN,2019,NA
RCN,2020,NA
RCN,2021,NA
RCN,2022,NA
RCN,2023,NA
RCN,2024,NA
SAM,2014,NA
SAM,2015,NA
SAM,2016,NA
SAM,2017,NA
SAM,2018,NA
SAM,2019,0
SAM,2020,0
SAM,2021,NA
SAM,2022,NA
SAM,2023,NA
SAM,2024,NA
SB,2014,NA
SB,2015,NA
SB,2016,NA
SB,2017,NA
SB,2018,NA
SB,2019,NA
SB,2020,NA
SB,2021,0
SB,2022,NA
SB,2023,0
SB,2024,0
SB2,2014,NA
SB2,2015,NA
SB2,2016,NA
SB2,2017,NA
SB2,2018,NA
SB2,2019,NA
SB2,2020,NA
SB2,2021,NA
SB2,2022,0
SB2,2023,0
SB2,2024,0
SB3,2014,NA
SB3,2015,NA
SB3,2016,NA
SB3,2017,NA
SB3,2018,NA
SB3,2019,NA
SB3,2020,NA
SB3,2021,NA
SB3,2022,0
SB3,2023,0.03
SB3,2024,0
SD,2014,NA
SD,2015,NA
SD,2016,NA
SD,2017,NA
SD,2018,NA
SD,2019,0.13
SD,2020,0.03
SD,2021,1.2
SD,2022,0.1
SD,2023,0.97
SD,2024,0.05
SI,2014,NA
SI,2015,10.2
SI,2016,NA
SI,2017,2.1
SI,2018,0.73
SI,2019,NA
SI,2020,0.1
SI,2021,2.6
SI,2022,0.09
SI,2023,2.41
SI,2024,0.38
SI-S,2014,NA
SI-S,2015,NA
SI-S,2016,NA
SI-S,2017,NA
SI-S,2018,NA
SI-S,2019,NA
SI-S,2020,NA
SI-S,2021,4.3
SI-S,2022,NA
SI-S,2023,NA
SI-S,2024,NA
SIM,2014,NA
SIM,2015,NA
SIM,2016,NA
SIM,2017,NA
SIM,2018,NA
SIM,2019,NA
SIM,2020,0
SIM,2021,NA
SIM,2022,NA
SIM,2023,NA
SIM,2024,NA
SIMF,2014,NA
SIMF,2015,NA
SIMF,2016,NA
SIMF,2017,NA
SIMF,2018,NA
SIMF,2019,NA
SIMF,2020,NA
SIMF,2021,NA
SIMF,2022,0
SIMF,2023,0
SIMF,2024,0
SKA,2014,NA
SKA,2015,NA
SKA,2016,NA
SKA,2017,NA
SKA,2018,NA
SKA,2019,0
SKA,2020,0
SKA,2021,NA
SKA,2022,NA
SKA,2023,NA
SKA,2024,NA
SKO1,2014,NA
SKO1,2015,NA
SKO1,2016,NA
SKO1,2017,NA
SKO1,2018,NA
SKO1,2019,NA
SKO1,2020,NA
SKO1,2021,0.11
SKO1,2022,0.63
SKO1,2023,0.5
SKO1,2024,0.15
SKO2,2014,NA
SKO2,2015,NA
SKO2,2016,NA
SKO2,2017,NA
SKO2,2018,NA
SKO2,2019,NA
SKO2,2020,NA
